date,open,high,low,close,volume
1993-12-03,26.2485,26.3719,26.2485,26.3719,306000
1993-12-06,26.4072,26.4954,26.4072,26.4602,99500
1993-12-07,26.4602,26.4778,26.4072,26.4425,88800
1993-12-08,26.4425,26.4425,26.4072,26.4425,146700
1993-12-09,26.4425,26.4778,26.3190,26.3543,416500
1993-12-10,26.3719,26.3719,26.2485,26.3014,412900
1993-12-13,26.3014,26.4602,26.2661,26.4602,273200
1993-12-14,26.4778,26.4778,26.2661,26.2661,41900
1993-12-15,26.3014,26.3190,26.2308,26.2308,82600
1993-12-16,26.3367,26.3367,26.2838,26.3190,78200
1993-12-17,26.3739,26.4804,26.3561,26.4627,104700
1993-12-20,26.4449,26.5160,26.4272,26.4982,68800
1993-12-21,26.4627,26.4627,26.3739,26.4094,205700
1993-12-22,26.4804,26.6048,26.4272,26.5870,410300
1993-12-23,26.5693,26.6225,26.5337,26.5693,533800
1993-12-27,26.5693,26.7114,26.5693,26.7114,447100
1993-12-28,26.6936,26.7824,26.6758,26.7646,880600
1993-12-29,26.7824,26.8001,26.7114,26.7291,266700
1993-12-30,26.7114,26.7114,26.5693,26.6225,219900
1993-12-31,26.6758,26.7114,26.4627,26.4804,312900
1994-01-03,26.4804,26.5160,26.3739,26.4094,960900
1994-01-04,26.4449,26.5160,26.4094,26.5160,164300
1994-01-05,26.5515,26.5870,26.4449,26.5693,710900
1994-01-06,26.6048,26.6225,26.5337,26.5693,201000
1994-01-07,26.6225,26.7469,26.5515,26.7291,775500
1994-01-10,26.7646,27.0488,26.6936,27.0488,593700
1994-01-11,27.0310,27.0310,26.9067,26.9955,295200
1994-01-12,27.0132,27.0132,26.8179,26.9067,158400
1994-01-13,26.8356,26.8890,26.8001,26.8356,244300
1994-01-14,26.9245,26.9955,26.9245,26.9422,137200
1994-01-17,26.9422,26.9777,26.8890,26.9422,17700
1994-01-18,26.9777,27.0132,26.9245,26.9777,166400
1994-01-19,26.9422,26.9777,26.8534,26.9067,200800
1994-01-20,26.9422,26.9955,26.9245,26.9777,281100
1994-01-21,27.0132,27.0132,26.9067,26.9245,85600
1994-01-24,26.9067,27.0310,26.8179,26.8179,373800
1994-01-25,26.8356,26.8534,26.7646,26.8179,310400
1994-01-26,26.8179,26.9067,26.7824,26.8890,145100
1994-01-27,26.9422,27.1731,26.9067,27.1376,344500
1994-01-28,27.2442,27.2974,27.2086,27.2086,356500
1994-01-31,27.3152,27.4573,27.2797,27.4040,313800
1994-02-01,27.3685,27.3685,27.2264,27.2619,303600
1994-02-02,27.3507,27.4395,27.3329,27.4395,307600
1994-02-03,27.3862,27.3862,27.2264,27.3152,466100
1994-02-04,27.3152,27.3507,26.6936,26.6936,1403200
1994-02-07,26.6225,26.8890,26.6225,26.8179,516400
1994-02-08,26.8712,26.8712,26.7291,26.8356,188200
1994-02-09,26.8534,26.9600,26.8179,26.9422,144600
1994-02-10,26.9245,26.9422,26.7114,26.7114,883900
1994-02-11,26.7291,26.8712,26.6048,26.8001,519400
1994-02-14,26.7469,26.9245,26.7114,26.8356,2742100
1994-02-15,26.8890,26.9955,26.8534,26.9777,374700
1994-02-16,27.0132,27.0132,26.9067,26.9600,287600
1994-02-17,27.0843,27.1021,26.7291,26.8001,342400
1994-02-18,26.8179,26.8356,26.5693,26.6403,313300
1994-02-22,26.7114,26.9067,26.7114,26.9067,154500
1994-02-23,26.9422,26.9600,26.7469,26.8356,391700
1994-02-24,26.7469,26.7469,26.4627,26.4804,770800
1994-02-25,26.5160,26.6048,26.4627,26.6048,531300
1994-02-28,26.6758,26.7469,26.6048,26.6048,333000
1994-03-01,26.6048,26.6580,26.3561,26.4982,423600
1994-03-02,26.1608,26.5337,26.0897,26.5337,581500
1994-03-03,26.4982,26.4982,26.3917,26.4627,223200
1994-03-04,26.4627,26.6048,26.3739,26.5337,595800
1994-03-07,26.6225,26.7114,26.6225,26.6758,539800
1994-03-08,26.6936,26.6936,26.5337,26.5693,880300
1994-03-09,26.6048,26.7114,26.4804,26.6936,2500100
1994-03-10,26.6758,26.6758,26.3917,26.4804,207400
1994-03-11,26.5160,26.6580,26.3739,26.6225,576600
1994-03-14,26.7291,26.7291,26.6225,26.6580,345900
1994-03-15,26.7114,26.7646,26.6225,26.6403,748600
1994-03-16,26.6758,26.8534,26.5870,26.8534,455500
1994-03-17,26.7646,26.8890,26.7646,26.8534,133000
1994-03-18,26.7226,26.8833,26.7047,26.8476,365500
1994-03-21,26.7583,26.8297,26.7047,26.7761,324800
1994-03-22,26.7761,26.9012,26.7226,26.8476,435700
1994-03-23,26.8297,26.9012,26.8119,26.8297,698500
1994-03-24,26.7226,26.7761,26.3831,26.5082,1200500
1994-03-25,26.5261,26.5975,26.2581,26.2581,100900
1994-03-28,26.2939,26.3296,26.0616,26.2939,1117200
1994-03-29,26.2939,26.3117,25.7758,25.7758,338400
1994-03-30,25.7937,25.8652,25.4186,25.4186,1123900
1994-03-31,25.4186,25.5436,24.8827,25.4900,788800
1994-04-04,24.7755,25.1685,24.7755,25.0970,2627300
1994-04-05,25.3471,25.6151,25.3471,25.6151,1179000
1994-04-06,25.6508,25.6686,25.4365,25.6151,516500
1994-04-07,25.5972,25.7937,25.4543,25.7401,666100
1994-04-08,25.6865,25.6865,25.4186,25.5436,242400
1994-04-11,25.6151,25.7580,25.5525,25.6508,203300
1994-04-12,25.6776,25.7223,25.5615,25.6151,1409200
1994-04-13,25.6061,25.6686,25.2936,25.4811,364100
1994-04-14,25.4365,25.6240,25.3828,25.4900,419900
1994-04-15,25.4811,25.5972,25.4454,25.4900,387300
1994-04-18,25.5168,25.5883,25.2399,25.3203,369100
1994-04-19,25.2936,25.4543,25.1417,25.3560,472200
1994-04-20,25.3828,25.4454,25.1953,25.3293,508000
1994-04-21,25.4365,25.7044,25.3471,25.6686,200300
1994-04-22,25.7312,25.7490,25.5704,25.6418,301800
1994-04-25,25.6329,25.9276,25.6329,25.9098,394600
1994-04-26,25.8741,25.9187,25.8294,25.8830,399000
1994-04-28,25.8294,25.8652,25.6151,25.6954,287000
1994-04-29,25.6508,25.8115,25.6151,25.7758,481900
1994-05-02,25.7758,26.1331,25.6865,25.9366,275000
1994-05-03,25.9455,25.9544,25.7580,25.9098,183400
1994-05-04,25.9634,25.9634,25.7669,25.8652,401900
1994-05-05,25.8919,25.9366,25.8294,25.8294,659800
1994-05-06,25.7044,25.7044,25.4900,25.5794,216300
1994-05-09,25.5079,25.5794,25.3114,25.3560,499300
1994-05-10,25.4811,25.6329,25.4632,25.5525,583400
1994-05-11,25.5257,25.5615,25.2489,25.3203,210600
1994-05-12,25.4811,25.5079,25.3828,25.4454,305200
1994-05-13,25.5168,25.5168,25.3203,25.4454,321300
1994-05-16,25.4989,25.5794,25.4454,25.4543,450400
1994-05-17,25.4722,25.8294,25.4365,25.8294,470200
1994-05-18,25.8473,26.1152,25.7312,26.0170,824800
1994-05-19,25.9634,26.2134,25.9634,26.1420,531000
1994-05-20,26.0973,26.1152,26.0081,26.0438,370400
1994-05-23,26.0170,26.0259,25.9187,25.9991,262700
1994-05-24,26.0705,26.2045,26.0705,26.1063,549600
1994-05-25,26.0081,26.1956,25.9187,26.1777,738200
1994-05-26,26.1688,26.2581,26.1420,26.1956,369600
1994-05-27,26.1510,26.2224,26.1063,26.2224,162000
1994-05-31,26.1420,26.2402,26.0973,26.1867,160000
1994-06-01,26.1242,26.3028,26.0438,26.3028,200500
1994-06-02,26.3206,26.3206,26.2313,26.2760,55100
1994-06-03,26.2939,26.5171,26.2134,26.4278,550400
1994-06-06,26.4814,26.5618,26.4010,26.4189,99300
1994-06-07,26.3742,26.4189,26.3117,26.3831,120600
1994-06-08,26.4457,26.4457,26.1688,26.1688,131900
1994-06-09,26.2849,26.3117,26.2313,26.3117,80500
1994-06-10,26.3385,26.4100,26.3385,26.3563,83100
1994-06-13,26.3206,26.4010,26.3117,26.3921,109700
1994-06-14,26.4725,26.6064,26.4725,26.5975,161000
1994-06-15,26.6064,26.6154,26.4725,26.4903,142800
1994-06-16,26.4903,26.5618,26.4635,26.5439,44000
1994-06-17,26.5586,26.5855,26.3608,26.3968,403800
1994-06-20,26.2079,26.2529,26.1450,26.1719,137400
1994-06-21,26.1540,26.1540,25.8393,25.9472,139200
1994-06-22,26.0191,26.1360,25.9921,26.0461,279900
1994-06-23,26.0910,26.1270,25.8573,25.8933,922500
1994-06-24,25.7674,25.7674,25.3179,25.3538,353800
1994-06-27,25.4527,25.7944,25.3268,25.7944,371200
1994-06-28,25.8033,25.8033,25.4617,25.6685,5382300
1994-06-29,25.7044,25.9022,25.6775,25.7494,311800
1994-06-30,25.7944,25.8033,25.4977,25.5876,271900
1994-07-01,25.7135,25.7135,25.5336,25.6415,406900
1994-07-05,25.6954,25.8123,25.6145,25.7763,112000
1994-07-06,25.6775,25.7854,25.5876,25.7404,174800
1994-07-07,25.7404,25.8483,25.7135,25.8483,66700
1994-07-08,25.6865,25.8842,25.6775,25.8393,148400
1994-07-11,25.8573,25.9022,25.6235,25.7494,124000
1994-07-12,25.7584,25.7944,25.6145,25.7854,257300
1994-07-13,25.7944,25.9112,25.7944,25.8303,532700
1994-07-14,25.9562,26.1630,25.9382,26.1091,494200
1994-07-15,26.0910,26.1719,26.0821,26.1180,49100
1994-07-18,26.1180,26.2259,26.1180,26.1630,72300
1994-07-19,26.2079,26.2169,26.1091,26.1091,609500
1994-07-20,26.1270,26.1270,25.9292,25.9921,185300
1994-07-21,25.9921,26.0641,25.9382,26.0461,86300
1994-07-22,26.1091,26.1270,26.0371,26.0910,151600
