DATE,BAA,DGS10,Calculated Credit Spread,Calculated scaled Credit Spread
2007-02-01,6.28,4.84,1.4400000000000004,2.880000000000001
2007-03-01,6.27,4.56,1.71,3.42
2007-05-01,6.39,4.64,1.75,3.5
2007-06-01,6.7,4.95,1.75,3.5
2007-08-01,6.65,4.76,1.8900000000000006,3.780000000000001
2007-10-01,6.48,4.56,1.9200000000000008,3.8400000000000016
2007-11-01,6.4,4.36,2.04,4.08
2008-02-01,6.82,3.62,3.2,6.4
2008-04-01,6.97,3.57,3.4,6.8
2008-05-01,6.93,3.78,3.15,6.3
2008-07-01,7.16,4.01,3.1500000000000004,6.300000000000001
2008-08-01,7.15,3.97,3.18,6.36
2008-10-01,8.88,3.77,5.110000000000001,10.220000000000002
2008-12-01,8.43,2.72,5.709999999999999,11.419999999999998
2009-04-01,8.39,2.68,5.710000000000001,11.420000000000002
2009-05-01,8.06,3.21,4.8500000000000005,9.700000000000001
2009-06-01,7.5,3.71,3.79,7.58
2009-07-01,7.09,3.55,3.54,7.08
2009-09-01,6.31,3.38,2.9299999999999997,5.859999999999999
2009-10-01,6.29,3.21,3.08,6.16
2009-12-01,6.37,3.28,3.0900000000000003,6.180000000000001
2010-02-01,6.34,3.68,2.6599999999999997,5.319999999999999
2010-03-01,6.27,3.61,2.6599999999999997,5.319999999999999
2010-04-01,6.25,3.89,2.36,4.72
2010-06-01,6.23,3.29,2.9400000000000004,5.880000000000001
2010-07-01,6.01,2.96,3.05,6.1
2010-09-01,5.66,2.58,3.08,6.16
2010-10-01,5.72,2.54,3.1799999999999997,6.359999999999999
2010-11-01,5.92,2.66,3.26,6.52
2010-12-01,6.1,2.97,3.1299999999999994,6.259999999999999
2011-02-01,6.15,3.48,2.6700000000000004,5.340000000000001
2011-03-01,6.03,3.41,2.62,5.24
2011-04-01,6.02,3.46,2.5599999999999996,5.119999999999999
2011-06-01,5.75,2.96,2.79,5.58
2011-07-01,5.76,3.22,2.5399999999999996,5.079999999999999
2011-08-01,5.36,2.77,2.5900000000000003,5.180000000000001
2011-09-01,5.27,2.15,3.1199999999999997,6.239999999999999
2011-11-01,5.14,2.01,3.13,6.26
2011-12-01,5.25,2.11,3.14,6.28
2012-02-01,5.14,1.87,3.2699999999999996,6.539999999999999
2012-03-01,5.23,2.03,3.2000000000000006,6.400000000000001
2012-05-01,5.07,1.98,3.0900000000000003,6.180000000000001
2012-06-01,5.02,1.47,3.55,7.1
2012-08-01,4.91,1.56,3.35,6.7
2012-10-01,4.58,1.64,2.9400000000000004,5.880000000000001
2012-11-01,4.51,1.75,2.76,5.52
2013-02-01,4.85,2.04,2.8099999999999996,5.619999999999999
2013-03-01,4.85,1.86,2.9899999999999993,5.979999999999999
2013-04-01,4.59,1.86,2.7299999999999995,5.459999999999999
2013-05-01,4.73,1.66,3.0700000000000003,6.140000000000001
2013-07-01,5.32,2.5,2.8200000000000003,5.640000000000001
2013-08-01,5.42,2.74,2.6799999999999997,5.359999999999999
2013-10-01,5.31,2.66,2.6499999999999995,5.299999999999999
2013-11-01,5.38,2.65,2.73,5.46
2014-04-01,4.9,2.77,2.1300000000000003,4.260000000000001
2014-05-01,4.76,2.63,2.13,4.26
2014-07-01,4.73,2.58,2.1500000000000004,4.300000000000001
2014-08-01,4.69,2.52,2.1700000000000004,4.340000000000001
2014-10-01,4.69,2.42,2.2700000000000005,4.540000000000001
2014-12-01,4.74,2.22,2.52,5.04
2015-04-01,4.48,1.87,2.6100000000000003,5.220000000000001
2015-05-01,4.89,2.12,2.7699999999999996,5.539999999999999
2015-06-01,5.13,2.19,2.94,5.88
2015-07-01,5.2,2.43,2.77,5.54
2015-09-01,5.34,2.17,3.17,6.34
2015-10-01,5.34,2.05,3.29,6.58
2015-12-01,5.46,2.15,3.31,6.62
2016-02-01,5.34,1.97,3.37,6.74
2016-03-01,5.13,1.83,3.3,6.6
2016-04-01,4.79,1.79,3.0,6.0
2016-06-01,4.53,1.85,2.68,5.36
2016-07-01,4.22,1.46,2.76,5.52
2016-08-01,4.24,1.51,2.7300000000000004,5.460000000000001
2016-09-01,4.31,1.57,2.7399999999999993,5.479999999999999
2016-11-01,4.71,1.83,2.88,5.76
2016-12-01,4.83,2.45,2.38,4.76
2017-02-01,4.64,2.48,2.1599999999999997,4.319999999999999
2017-03-01,4.68,2.46,2.2199999999999998,4.4399999999999995
2017-05-01,4.55,2.33,2.2199999999999998,4.4399999999999995
2017-06-01,4.37,2.21,2.16,4.32
2017-08-01,4.31,2.26,2.05,4.1
2017-09-01,4.3,2.16,2.1399999999999997,4.279999999999999
2017-11-01,4.27,2.37,1.8999999999999995,3.799999999999999
2017-12-01,4.22,2.37,1.8499999999999996,3.6999999999999993
2018-02-01,4.51,2.78,1.73,3.46
2018-03-01,4.64,2.81,1.8299999999999996,3.6599999999999993
2018-05-01,4.83,2.97,1.8599999999999999,3.7199999999999998
2018-06-01,4.83,2.89,1.94,3.88
2018-08-01,4.77,3.0,1.7699999999999996,3.539999999999999
2018-10-01,5.07,3.09,1.9800000000000004,3.960000000000001
2018-11-01,5.22,3.14,2.0799999999999996,4.159999999999999
2019-02-01,4.95,2.7,2.25,4.5
2019-03-01,4.84,2.76,2.08,4.16
2019-04-01,4.7,2.49,2.21,4.42
2019-05-01,4.63,2.52,2.11,4.22
2019-07-01,4.28,2.03,2.2500000000000004,4.500000000000001
2019-08-01,3.87,1.9,1.9700000000000002,3.9400000000000004
2019-10-01,3.92,1.65,2.27,4.54
2019-11-01,3.94,1.73,2.21,4.42
2020-04-01,4.13,0.62,3.51,7.02
2020-05-01,3.95,0.64,3.31,6.62
2020-06-01,3.64,0.66,2.98,5.96
2020-07-01,3.31,0.69,2.62,5.24
2020-09-01,3.36,0.68,2.6799999999999997,5.359999999999999
2020-10-01,3.44,0.68,2.76,5.52
2020-12-01,3.16,0.92,2.24,4.48
2021-02-01,3.42,1.09,2.33,4.66
2021-03-01,3.74,1.45,2.29,4.58
